PLANTSPECIES,SUBSP_OR_VARIETY,FRUIT_LENGTH_mm,FRUIT_DIAMETER_mm,PLANT_MAX_MEAN_VEGETATIVE_HEIGHT_m,FRUIT_SIZE_REFERENCE,PLANT_HEIGHT_REFERENCE_IF_DIFFERENT_FROM_THAT_OF_FRUIT_SIZE,NOTES
Halocarpus_biformis,,4,2.3,10,University of Canterbury herbarium specimen number 20009,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,Fruit 1.
Halocarpus_biformis,,3.6,2.5,10,University of Canterbury herbarium specimen number 20009,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,Fruit 2.
Halocarpus_biformis,,3.6,2.4,10,University of Canterbury herbarium specimen number 20009,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,Fruit 3.
Hedera_helix,,7,7,30,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,,
Hedycarya_arborea,,15,12,12,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,,
Hedychium_gardnerianum,,1,1,2,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,,Fruit length used as fruit diameter as fruit is globose.
Idesia_sp,Idesia polycarpa,9,8,10,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,,
Ileostylus_micranthus,,6.5,6.5,30,Flora of NZ Series H. H. Allan -  NZ Plant Conservation Network,"Plant height extracted from the highest host (Podocarpus totara). Host range extracted from Norton & Lange ‘Host specificity in parasitic mistletoes (Loranthaceae) in NZ’ Functional Ecology, 1999, vol13, 552-559.",
Ilex_aquifolium,,8,8,12,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,,
Isolepis_habra,,1.2,0.7,0.3,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database – NZ Plant Conservation Network,,
Jasminum_officinale,,6,7,9.14,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database -  Missouri Botanical Garden,Missouri Botanical Garden http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=b559,
Knightia_excelsa,,31.5,6.3,30,University of Canterbury herbarium specimen number 10880,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,Fruit length also available from Eco Traits NZ Flora (fruit length = 35mm).
Knightia_excelsa,,31.5,6,30,University of Canterbury herbarium specimen number 26388,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,Fruit length also available from Eco Traits NZ Flora (fruit length = 35mm).
Knightia_excelsa,,40,10,30,University of Canterbury herbarium specimen number 31099,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,Fruit length also available from Eco Traits NZ Flora (fruit length = 35mm).
Knightia_excelsa,,40.6,11.2,30,University of Canterbury herbarium specimen number 11871,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,Fruit length also available from Eco Traits NZ Flora (fruit length = 35mm).
Lantana_camara,,5,5,3,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,,
Laurus_nobilis,,12,9,7,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,,
