"cell_id";"species";"observations";"guild";"status";"record.type"
10;"Gerygone_igata";37;"birds";"Native";"TIER1"
12;"Gerygone_igata";9;"birds";"Native";"TIER1"
13;"Gerygone_igata";40;"birds";"Native";"TIER1"
14;"Gerygone_igata";29;"birds";"Native";"TIER1"
15;"Gerygone_igata";58;"birds";"Native";"TIER1"
16;"Gerygone_igata";32;"birds";"Native";"TIER1"
17;"Gerygone_igata";2;"birds";"Native";"TIER1"
18;"Gerygone_igata";77;"birds";"Native";"TIER1"
19;"Gerygone_igata";86;"birds";"Native";"TIER1"
20;"Gerygone_igata";25;"birds";"Native";"TIER1"
22;"Gerygone_igata";6;"birds";"Native";"TIER1"
25;"Gerygone_igata";21;"birds";"Native";"TIER1"
27;"Gerygone_igata";149;"birds";"Native";"TIER1"
28;"Gerygone_igata";62;"birds";"Native";"TIER1"
29;"Gerygone_igata";24;"birds";"Native";"TIER1"
30;"Gerygone_igata";39;"birds";"Native";"TIER1"
31;"Gerygone_igata";32;"birds";"Native";"TIER1"
32;"Gerygone_igata";238;"birds";"Native";"TIER1"
33;"Gerygone_igata";69;"birds";"Native";"TIER1"
36;"Gerygone_igata";18;"birds";"Native";"TIER1"
37;"Gerygone_igata";105;"birds";"Native";"TIER1"
38;"Gerygone_igata";80;"birds";"Native";"TIER1"
40;"Gerygone_igata";49;"birds";"Native";"TIER1"
41;"Gerygone_igata";104;"birds";"Native";"TIER1"
42;"Gerygone_igata";14;"birds";"Native";"TIER1"
45;"Gerygone_igata";43;"birds";"Native";"TIER1"
46;"Gerygone_igata";120;"birds";"Native";"TIER1"
47;"Gerygone_igata";24;"birds";"Native";"TIER1"
48;"Gerygone_igata";4;"birds";"Native";"TIER1"
49;"Gerygone_igata";188;"birds";"Native";"TIER1"
50;"Gerygone_igata";52;"birds";"Native";"TIER1"
51;"Gerygone_igata";14;"birds";"Native";"TIER1"
52;"Gerygone_igata";4;"birds";"Native";"TIER1"
53;"Gerygone_igata";59;"birds";"Native";"TIER1"
54;"Gerygone_igata";30;"birds";"Native";"TIER1"
55;"Gerygone_igata";16;"birds";"Native";"TIER1"
