"cell_id";"species";"observations"
40;"Prosthemadera_novaeseelandiae";13
40;"Rhipidura_fuliginosa";11
40;"Rhopalostylis_sapida";2
40;"Ripogonum_scandens";1
40;"Rubus_australis";1
40;"Schefflera_digitata";2
40;"Solanum_mauritianum";1
40;"Sturnus_vulgaris";2
40;"Tadorna_variegata";1
40;"Turdus_merula";11
40;"Turdus_philomelos";5
40;"Vitex_lucens";2
40;"Zosterops_lateralis";9
41;"Acridotheres_tristis";2
41;"Chroicocephalus_novaehollandiae";1
41;"Fringilla_coelebs";1
41;"Gerygone_igata";2
41;"Meleagris_gallopavo";2
41;"Passer_domesticus";2
41;"Phasianus_colchicus";1
41;"Platycercus_eximius";1
41;"Porphyrio_melanotus";2
41;"Prosthemadera_novaeseelandiae";1
41;"Rhipidura_fuliginosa";1
41;"Tadorna_variegata";2
41;"Turdus_merula";1
41;"Zosterops_lateralis";1
42;"Acridotheres_tristis";28
42;"Anthus_novaeseelandiae";1
42;"Carduelis_carduelis";5
42;"Chroicocephalus_novaehollandiae";22
42;"Coprosma_lucida";1
42;"Coprosma_parviflora";1
42;"Coprosma_rhamnoides";1
42;"Coprosma_robusta";1
42;"Fringilla_coelebs";13
42;"Geniostoma_rupestre";1
42;"Gerygone_igata";24
42;"Hedycarya_arborea";1
42;"Hemiphaga_novaeseelandiae";7
42;"Ligustrum_sinense";1
42;"Lonicera_japonica";1
42;"Meleagris_gallopavo";3
42;"Melicytus_ramiflorus";1
42;"Myrsine_australis";1
42;"Passer_domesticus";25
42;"Petroica_macrocephala";4
42;"Phasianus_colchicus";4
42;"Platycercus_eximius";6
42;"Podocarpus_totara";1
42;"Porphyrio_melanotus";24
42;"Prosthemadera_novaeseelandiae";21
42;"Rhipidura_fuliginosa";16
42;"Rhopalostylis_sapida";1
42;"Schefflera_digitata";1
42;"Sturnus_vulgaris";6
42;"Tadorna_variegata";24
42;"Turdus_merula";17
42;"Turdus_philomelos";8
42;"Zosterops_lateralis";20
43;"Acridotheres_tristis";47
43;"Anthus_novaeseelandiae";2
43;"Carduelis_carduelis";16
43;"Chroicocephalus_novaehollandiae";10
43;"Coprosma_rhamnoides";1
43;"Dacrycarpus_dacrydioides";1
43;"Fringilla_coelebs";16
43;"Gerygone_igata";24
43;"Hemiphaga_novaeseelandiae";8
43;"Meleagris_gallopavo";4
43;"Melicytus_ramiflorus";1
43;"Passer_domesticus";44
43;"Petroica_macrocephala";1
43;"Phasianus_colchicus";9
43;"Platycercus_eximius";21
43;"Podocarpus_totara";1
43;"Porphyrio_melanotus";43
43;"Prosthemadera_novaeseelandiae";26
43;"Rhipidura_fuliginosa";32
43;"Rhopalostylis_sapida";1
43;"Sturnus_vulgaris";5
43;"Tadorna_variegata";46
43;"Turdus_merula";25
43;"Turdus_philomelos";8
43;"Zosterops_lateralis";24
44;"Acanthis_flammea";1
44;"Acridotheres_tristis";8
44;"Anthus_novaeseelandiae";5
44;"Carduelis_carduelis";8
44;"Chloris_chloris";2
44;"Chroicocephalus_novaehollandiae";16
44;"Fringilla_coelebs";7
44;"Gerygone_igata";2
44;"Meleagris_gallopavo";1
44;"Passer_domesticus";12
44;"Phasianus_colchicus";6
44;"Platycercus_eximius";2
44;"Porphyrio_melanotus";10
44;"Prosthemadera_novaeseelandiae";8
44;"Rhipidura_fuliginosa";3
44;"Sturnus_vulgaris";4
44;"Tadorna_variegata";7
44;"Turdus_merula";10
44;"Turdus_philomelos";9
44;"Zosterops_lateralis";3
45;"Acridotheres_tristis";10
45;"Anthornis_melanura";1
45;"Anthus_novaeseelandiae";3
45;"Carduelis_carduelis";5
45;"Chloris_chloris";1
45;"Chroicocephalus_novaehollandiae";12
45;"Coprosma_rhamnoides";1
45;"Fringilla_coelebs";11
45;"Gaultheria_antipoda";1
45;"Geniostoma_rupestre";1
45;"Gerygone_igata";14
45;"Leptecophylla_juniperina";1
45;"Leptospermum_scoparium";1
45;"Leucopogon_fasciculatus";1
45;"Muehlenbeckia_complexa";1
45;"Myrsine_australis";1
45;"Passer_domesticus";11
45;"Petroica_macrocephala";3
45;"Phasianus_colchicus";3
45;"Phormium_tenax";1
45;"Platycercus_eximius";2
45;"Prosthemadera_novaeseelandiae";4
45;"Rhipidura_fuliginosa";7
45;"Sturnus_vulgaris";1
45;"Styphelia_nesophila";1
45;"Tadorna_variegata";2
45;"Turdus_merula";5
45;"Turdus_philomelos";2
45;"Zosterops_lateralis";8
46;"Acridotheres_tristis";21
46;"Carduelis_carduelis";10
46;"Chloris_chloris";1
46;"Chroicocephalus_novaehollandiae";24
46;"Fringilla_coelebs";11
46;"Gerygone_igata";10
46;"Passer_domesticus";32
46;"Phasianus_colchicus";5
46;"Platycercus_eximius";3
46;"Porphyrio_melanotus";3
46;"Prosthemadera_novaeseelandiae";4
46;"Rhipidura_fuliginosa";7
46;"Sturnus_vulgaris";14
46;"Tadorna_variegata";1
46;"Turdus_merula";27
46;"Turdus_philomelos";17
46;"Zosterops_lateralis";15
47;"Acridotheres_tristis";23
47;"Anthornis_melanura";1
47;"Aristotelia_serrata";1
47;"Beilschmiedia_tarairi";2
47;"Carduelis_carduelis";9
47;"Carpodetus_serratus";1
47;"Chloris_chloris";2
47;"Chroicocephalus_novaehollandiae";5
47;"Coprosma_arborea";1
47;"Coprosma_grandifolia";1
47;"Coprosma_parviflora";1
47;"Coprosma_rhamnoides";2
47;"Dacrycarpus_dacrydioides";2
47;"Dacrydium_cupressinum";1
47;"Dysoxylum_spectabile";1
47;"Elaeocarpus_dentatus";1
47;"Freycinetia_banksii";1
47;"Fringilla_coelebs";6
47;"Geniostoma_rupestre";1
47;"Gerygone_igata";14
47;"Griselinia_lucida";1
47;"Hedycarya_arborea";1
47;"Hemiphaga_novaeseelandiae";9
47;"Knightia_excelsa";1
47;"Leucopogon_fasciculatus";1
47;"Ligustrum_sinense";1
47;"Meleagris_gallopavo";6
47;"Melicytus_ramiflorus";1
47;"Myrsine_australis";1
47;"Myrsine_salicina";1
47;"Nestor_meridionalis";1
47;"Passer_domesticus";19
47;"Petroica_macrocephala";3
47;"Phasianus_colchicus";9
47;"Platycercus_eximius";12
47;"Podocarpus_totara";1
47;"Porphyrio_melanotus";5
47;"Prosthemadera_novaeseelandiae";15
47;"Prumnopitys_ferruginea";1
47;"Pseudopanax_crassifolius";1
47;"Rhipidura_fuliginosa";22
47;"Rhopalostylis_sapida";1
47;"Ripogonum_scandens";1
47;"Rubus_australis";1
47;"Rubus_cissoides";1
47;"Schefflera_digitata";1
47;"Sturnus_vulgaris";19
47;"Tadorna_variegata";15
47;"Turdus_merula";18
47;"Turdus_philomelos";10
47;"Vitex_lucens";1
47;"Zosterops_lateralis";16
