"species";"guild";"status";"n";"trait";"mean.value";"sd.value"
"Hemiphaga_novaeseelandiae";"birds";"Native";8;"Hand-wing.Index";31,7375;1,33837588143242
"Hemiphaga_novaeseelandiae";"birds";"Native";8;"Kipps.Distance";81,3875;3,69185880398634
"Hemiphaga_novaeseelandiae";"birds";"Native";8;"Secondary1";175,2375;5,41899766693858
"Hemiphaga_novaeseelandiae";"birds";"Native";8;"Tail.Length";193,25;19,0918830920368
"Hemiphaga_novaeseelandiae";"birds";"Native";8;"Tarsus.Length";34,45;2,9418167370327
"Hemiphaga_novaeseelandiae";"birds";"Native";8;"WING_LENGTH_cm";25,775;2,53813767497803
"Hemiphaga_novaeseelandiae";"birds";"Native";8;"Wing.Length";256,625;5,50162313711664
"Hymenolaimus_malacorhynchos";"birds";"Native";4;"Beak.Depth";14,725;1,04363148029689
"Hymenolaimus_malacorhynchos";"birds";"Native";4;"Beak.Length_Culmen";42,175;0,842120339777319
"Hymenolaimus_malacorhynchos";"birds";"Native";4;"Beak.Length_Nares";30,1;1,13724814061547
"Hymenolaimus_malacorhynchos";"birds";"Native";4;"Beak.Width";16,15;2,00416233540766
"Hymenolaimus_malacorhynchos";"birds";"Native";4;"BILL_LENGTH_mm";45,45;2,05669638012031
"Hymenolaimus_malacorhynchos";"birds";"Native";4;"BILL_WIDTH_mm";17,725;0,974251849711699
"Hymenolaimus_malacorhynchos";"birds";"Native";NA;"body.mass";832,5;NA
