"cell_id";"guild";"record.type";"richness"
370;"plants";"GBIF";1
371;"birds";"GBIF";21
371;"plants";"GBIF";25
372;"birds";"GBIF";20
373;"birds";"GBIF";18
373;"plants";"NVS";8
374;"birds";"GBIF";16
375;"birds";"GBIF";15
376;"birds";"GBIF";24
376;"birds";"TIER1";10
376;"plants";"NVS";18
377;"birds";"GBIF";22
377;"plants";"NVS";20
378;"birds";"GBIF";27
379;"birds";"GBIF";22
379;"plants";"GBIF";2
380;"birds";"GBIF";22
380;"plants";"GBIF";2
381;"birds";"GBIF";24
382;"birds";"GBIF";14
383;"birds";"GBIF";22
383;"plants";"NVS";18
384;"birds";"GBIF";7
386;"birds";"GBIF";13
386;"birds";"TIER1";10
386;"plants";"GBIF";1
387;"birds";"GBIF";16
387;"plants";"GBIF";2
387;"plants";"NVS";25
388;"birds";"GBIF";21
388;"plants";"NVS";23
389;"birds";"GBIF";16
390;"birds";"GBIF";23
390;"plants";"GBIF";25
391;"birds";"GBIF";25
392;"birds";"GBIF";22
393;"birds";"GBIF";23
394;"birds";"GBIF";20
395;"birds";"GBIF";27
395;"plants";"GBIF";39
396;"birds";"GBIF";20
397;"birds";"GBIF";21
398;"birds";"GBIF";25
399;"birds";"GBIF";18
400;"birds";"GBIF";25
400;"plants";"GBIF";31
400;"plants";"NVS";18
401;"birds";"GBIF";26
402;"birds";"GBIF";22
402;"birds";"TIER1";15
402;"plants";"NVS";10
403;"birds";"GBIF";24
403;"birds";"TIER1";15
403;"plants";"GBIF";26
403;"plants";"NVS";43
404;"birds";"GBIF";21
404;"plants";"GBIF";2
405;"birds";"GBIF";22
406;"birds";"GBIF";20
408;"birds";"GBIF";18
409;"birds";"GBIF";20
409;"plants";"NVS";26
410;"plants";"NVS";25
411;"plants";"NVS";28
415;"birds";"GBIF";13
415;"plants";"NVS";31
416;"birds";"GBIF";20
416;"plants";"GBIF";2
416;"plants";"NVS";2
417;"birds";"GBIF";21
417;"plants";"GBIF";1
418;"birds";"GBIF";21
418;"plants";"GBIF";1
418;"plants";"NVS";21
419;"birds";"GBIF";20
419;"birds";"TIER1";15
419;"plants";"GBIF";29
419;"plants";"NVS";21
420;"birds";"GBIF";27
420;"birds";"TIER1";14
