"PLANTSPECIES";"BIRDSPECIES";"REFERENCE";"PLANTSTATUS";"BIRDSTATUS"
"Coprosma_grandifolia";"Anthornis_melanura";"Baker 1999, Notornis 46: 270-272.";"Native";"Native"
"Coprosma_grandifolia";"Anthornis_melanura";"Williams & Karl 1996, NZJE 20: 127-145.";"Native";"Native"
"Coprosma_grandifolia";"Anthornis_melanura";"MacFarlane et al. 2016. NZ J Ecol 40, In press.";"Native";"Native"
"Coprosma_grandifolia";"Anthornis_melanura";"Williams & Karl 1996, NZ J Ecol 20 127-145.";"Native";"Native"
"Coprosma_grandifolia";"Anthornis_melanura";"Williams & Karl 1996, NZ J Ecol 20 127-145.";"Native";"Native"
"Coprosma_grandifolia";"Anthornis_melanura";"Garcia et al. 2014. J Ecol. 83, 1441-1450.";"Native";"Native"
"Coprosma_grandifolia";"Anthornis_melanura";"Garcia et al. 2014. J Ecol. 83, 1441-1450.";"Native";"Native"
"Coprosma_grandifolia";"Anthornis_melanura";"Garcia et al. 2014. J Ecol. 83, 1441-1450.";"Native";"Native"
"Coprosma_grandifolia";"Callaeas_cinereus";"Leathwick et al. 1983, NZJE 6: 55-70.";"Native";"Native"
"Coprosma_grandifolia";"Callaeas_cinereus";"Innes & Hay 1995, Notornis 42: 79-93.";"Native";"Native"
"Coprosma_grandifolia";"Cyanoramphus_novaezelandiae";"Garcia et al. 2014. J Ecol. 83, 1441-1450.";"Native";"Native"
"Coprosma_grandifolia";"Hemiphaga_novaeseelandiae";"Baker 1999, Notornis 46: 270-272.";"Native";"Native"
"Coprosma_grandifolia";"Hemiphaga_novaeseelandiae";"McEwen 1978 NZ J Ecol 1, 99-108.";"Native";"Native"
"Coprosma_grandifolia";"Hemiphaga_novaeseelandiae";"Garcia et al. 2014. J Ecol. 83, 1441-1450.";"Native";"Native"
"Coprosma_grandifolia";"Hemiphaga_novaeseelandiae";"Garcia et al. 2014. J Ecol. 83, 1441-1450.";"Native";"Native"
"Coprosma_grandifolia";"Mohoua_albicilla";"Garcia et al. 2014. J Ecol. 83, 1441-1450.";"Native";"Native"
"Coprosma_grandifolia";"Mohoua_albicilla";"Garcia et al. 2014. J Ecol. 83, 1441-1450.";"Native";"Native"
"Coprosma_grandifolia";"Petroica_australis";"Garcia et al. 2014. J Ecol. 83, 1441-1450.";"Native";"Native"
"Coprosma_grandifolia";"Philesturnus_carunculatus";"Garcia et al. 2014. J Ecol. 83, 1441-1450.";"Native";"Native"
"Coprosma_grandifolia";"Prosthemadera_novaeseelandiae";"CSN, Notornis 43.";"Native";"Native"
"Coprosma_grandifolia";"Prosthemadera_novaeseelandiae";"Williams & Karl 1996, NZJE 20: 127-145.";"Native";"Native"
"Coprosma_grandifolia";"Prosthemadera_novaeseelandiae";"Garcia et al. 2014. J Ecol. 83, 1441-1450.";"Native";"Native"
"Coprosma_grandifolia";"Prosthemadera_novaeseelandiae";"Garcia et al. 2014. J Ecol. 83, 1441-1450.";"Native";"Native"
"Coprosma_grandifolia";"Prosthemadera_novaeseelandiae";"Garcia et al. 2014. J Ecol. 83, 1441-1450.";"Native";"Native"
"Coprosma_grandifolia";"Prosthemadera_novaeseelandiae";"Garcia et al. 2014. J Ecol. 83, 1441-1450.";"Native";"Native"
"Coprosma_grandifolia";"Prosthemadera_novaeseelandiae";"Garcia et al. 2014. J Ecol. 83, 1441-1450.";"Native";"Native"
"Coprosma_grandifolia";"Sturnus_vulgaris";"Garcia et al. 2014. J Ecol. 83, 1441-1450.";"Native";"Exotic"
"Coprosma_grandifolia";"Turdus_merula";"Williams & Karl 1996, NZJE 20: 127-145.";"Native";"Exotic"
"Coprosma_grandifolia";"Turdus_merula";"Williams & Karl 1996, NZ J Ecol 20 127-145.";"Native";"Exotic"
"Coprosma_grandifolia";"Turdus_merula";"Garcia et al. 2014. J Ecol. 83, 1441-1450.";"Native";"Exotic"
