"landscape.category";"network.category";"dispersal.category";"replicate";"normalised.gce"
"sa04";"dd02";"dk02";3;0,0215169603598494
"sa04";"dd02";"dk02";4;0,0236494231716015
"sa04";"dd02";"dk02";5;0,0258685515745556
"sa04";"dd02";"dk02";6;0,0248152251275827
"sa04";"dd02";"dk02";7;0,0191611995691178
"sa04";"dd02";"dk02";8;0,0256326316482073
"sa04";"dd02";"dk02";9;0,0219635686875044
"sa04";"dd02";"dk03";1;0,0199382407312999
"sa04";"dd02";"dk03";10;0,0215488783866426
"sa04";"dd02";"dk03";2;0,0167020891295428
"sa04";"dd02";"dk03";3;0,0196100785306904
"sa04";"dd02";"dk03";4;0,0215228362727473
"sa04";"dd02";"dk03";5;0,0244387730057677
"sa04";"dd02";"dk03";6;0,0242764419690382
"sa04";"dd02";"dk03";7;0,0177365780795209
"sa04";"dd02";"dk03";8;0,0249123414550774
"sa04";"dd02";"dk03";9;0,025397317745229
"sa04";"dd02";"dk04";1;0,0200959667621662
"sa04";"dd02";"dk04";10;0,0179055343122108
"sa04";"dd02";"dk04";2;0,0184828114600115
"sa04";"dd02";"dk04";3;0,0262100381662013
"sa04";"dd02";"dk04";4;0,0208005755821457
"sa04";"dd02";"dk04";5;0,0203575475719281
"sa04";"dd02";"dk04";6;0,0272056076359626
"sa04";"dd02";"dk04";7;0,0231003429440988
"sa04";"dd02";"dk04";8;0,0207220870696331
"sa04";"dd02";"dk04";9;0,0209050704676018
"sa04";"dd02";"dk05";1;0,0167199654222499
"sa04";"dd02";"dk05";10;0,0225521568316003
"sa04";"dd02";"dk05";2;0,0199263660107446
"sa04";"dd02";"dk05";3;0,0232324378981894
"sa04";"dd02";"dk05";4;0,0182625565570382
"sa04";"dd02";"dk05";5;0,0178648422800677
"sa04";"dd02";"dk05";6;0,023704424079321
"sa04";"dd02";"dk05";7;0,0207254746504076
"sa04";"dd02";"dk05";8;0,0245626129407525
"sa04";"dd02";"dk05";9;0,0248927624861789
"sa05";"dd02";"dk01";1;0,0154750716556113
"sa05";"dd02";"dk01";10;0,0197930329258894
"sa05";"dd02";"dk01";2;0,0120484581191205
"sa05";"dd02";"dk01";3;0,019131935720473
"sa05";"dd02";"dk01";4;0,0337331265309342
"sa05";"dd02";"dk01";5;0,023062972604662
"sa05";"dd02";"dk01";6;0,0168184820170917
"sa05";"dd02";"dk01";7;0,0198504593581595
"sa05";"dd02";"dk01";8;0,0188855465646605
"sa05";"dd02";"dk01";9;0,0249416321347782
"sa05";"dd02";"dk02";1;0,0223436760213586
"sa05";"dd02";"dk02";10;0,0225212755819807
"sa05";"dd02";"dk02";2;0,0208995287507516
"sa05";"dd02";"dk02";3;0,0260032184301536
"sa05";"dd02";"dk02";4;0,025007305781227
"sa05";"dd02";"dk02";5;0,0297570236664075
"sa05";"dd02";"dk02";6;0,0253421057750375
"sa05";"dd02";"dk02";7;0,0174720994408158
"sa05";"dd02";"dk02";8;0,0234848058292398
"sa05";"dd02";"dk02";9;0,0275576939974535
"sa05";"dd02";"dk03";1;0,0185457774761944
"sa05";"dd02";"dk03";10;0,0218799233105083
"sa05";"dd02";"dk03";2;0,0164750407052948
"sa05";"dd02";"dk03";3;0,0201494628359948
"sa05";"dd02";"dk03";4;0,0218640333188482
"sa05";"dd02";"dk03";5;0,024044372336974
"sa05";"dd02";"dk03";6;0,0224150919007813
"sa05";"dd02";"dk03";7;0,0164281381821937
"sa05";"dd02";"dk03";8;0,0221272654747408
"sa05";"dd02";"dk03";9;0,028190153724
"sa05";"dd02";"dk04";1;0,0199196930058358
"sa05";"dd02";"dk04";10;0,0182059113875486
"sa05";"dd02";"dk04";2;0,0205977342159497
"sa05";"dd02";"dk04";3;0,0258583576623132
"sa05";"dd02";"dk04";4;0,0224329460320687
"sa05";"dd02";"dk04";5;0,0190882354630297
"sa05";"dd02";"dk04";6;0,0258472061607939
"sa05";"dd02";"dk04";7;0,0225702403708087
"sa05";"dd02";"dk04";8;0,0206245621496303
"sa05";"dd02";"dk04";9;0,0215224531977551
"sa05";"dd02";"dk05";1;0,0156099478885135
"sa05";"dd02";"dk05";10;0,0220165210832478
"sa05";"dd02";"dk05";2;0,0225934423784344
"sa05";"dd02";"dk05";3;0,0249470767165788
"sa05";"dd02";"dk05";4;0,0206081369472247
"sa05";"dd02";"dk05";5;0,0182114339581081
"sa05";"dd02";"dk05";6;0,0224101493076765
"sa05";"dd02";"dk05";7;0,0206054888746624
"sa05";"dd02";"dk05";8;0,0263165416383132
"sa05";"dd02";"dk05";9;0,0256028786541925
"sa01";"dd03";"dk01";1;0,0212934934662012
"sa01";"dd03";"dk01";10;0,0263696163708436
"sa01";"dd03";"dk01";2;0,0170699321806007
"sa01";"dd03";"dk01";3;0,0202568054009593
"sa01";"dd03";"dk01";4;0,0214702161541194
"sa01";"dd03";"dk01";5;0,0217142517444534
"sa01";"dd03";"dk01";6;0,0159101731392066
"sa01";"dd03";"dk01";7;0,0241186997914145
"sa01";"dd03";"dk01";8;0,0293700653938207
"sa01";"dd03";"dk01";9;0,0293469429272651
"sa01";"dd03";"dk02";1;0,0279033345175748
"sa01";"dd03";"dk02";10;0,0261221391319214
"sa01";"dd03";"dk02";2;0,0336638420435594
"sa01";"dd03";"dk02";3;0,0214340862636788
"sa01";"dd03";"dk02";4;0,024011210980485
"sa01";"dd03";"dk02";5;0,0274976518267078
"sa01";"dd03";"dk02";6;0,0253056021890204
"sa01";"dd03";"dk02";7;0,0238433736772954
"sa01";"dd03";"dk02";8;0,0301090186020264
"sa01";"dd03";"dk02";9;0,0254293867382745
"sa01";"dd03";"dk03";1;0,0252918391078377
"sa01";"dd03";"dk03";10;0,0262249759408419
"sa01";"dd03";"dk03";2;0,0235159917432811
"sa01";"dd03";"dk03";3;0,0232613126932031
"sa01";"dd03";"dk03";4;0,0263998128232571
"sa01";"dd03";"dk03";5;0,0267131308303838
"sa01";"dd03";"dk03";6;0,0217842780886841
"sa01";"dd03";"dk03";7;0,0271139562134578
"sa01";"dd03";"dk03";8;0,0317875020463623
"sa01";"dd03";"dk03";9;0,0269814160077635
"sa01";"dd03";"dk04";1;0,0200819628790231
"sa01";"dd03";"dk04";10;0,0241470151463539
